2019-09-12 09:07:45,787 [main] INFO  c.s.wisdomhydrologic.SQApplication 48 - Starting SQApplication on dell-PC with PID 8920 (H:\mavenWorkspace\sq_new\sq\target\classes started by dell in H:\mavenWorkspace\sq_new\sq)
2019-09-12 09:07:45,827 [main] INFO  c.s.wisdomhydrologic.SQApplication 597 - The following profiles are active: test
2019-09-12 09:07:46,458 [background-preinit] INFO  o.h.validator.internal.util.Version 30 - HV000001: Hibernate Validator 5.3.5.Final
2019-09-12 09:07:50,360 [main] INFO  o.a.catalina.core.StandardService 179 - Starting service [Tomcat]
2019-09-12 09:07:50,361 [main] INFO  o.a.catalina.core.StandardEngine 179 - Starting Servlet Engine: Apache Tomcat/8.5.15
2019-09-12 09:07:50,515 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/sq] 179 - Initializing Spring embedded WebApplicationContext
2019-09-12 09:07:52,654 [main] INFO  org.quartz.impl.StdSchedulerFactory 1208 - Using default implementation for ThreadExecutor
2019-09-12 09:07:52,665 [main] INFO  o.quartz.core.SchedulerSignalerImpl 61 - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2019-09-12 09:07:52,665 [main] INFO  org.quartz.core.QuartzScheduler 229 - Quartz Scheduler v.2.3.0 created.
2019-09-12 09:07:53,283 [main] INFO  org.quartz.core.QuartzScheduler 294 - Scheduler meta-data: Quartz Scheduler (v2.3.0) 'schedulerFactoryBean' with instanceId 'dell-PC1568250472656'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 20 threads.
  Using job-store 'org.springframework.scheduling.quartz.LocalDataSourceJobStore' - which supports persistence. and is clustered.

2019-09-12 09:07:53,283 [main] INFO  org.quartz.impl.StdSchedulerFactory 1362 - Quartz scheduler 'schedulerFactoryBean' initialized from an externally provided properties instance.
2019-09-12 09:07:53,283 [main] INFO  org.quartz.impl.StdSchedulerFactory 1366 - Quartz scheduler version: 2.3.0
2019-09-12 09:07:53,283 [main] INFO  org.quartz.core.QuartzScheduler 2287 - JobFactory set to: com.siti.wisdomhydrologic.quartz.config.ConfigureQuartz$AutowiringSpringBeanJobFactory@22361e23
2019-09-12 09:07:53,341 [main] INFO  c.s.w.q.service.DynamicJobService 53 - INIT SUCCESS
2019-09-12 09:07:58,864 [main] INFO  org.quartz.core.QuartzScheduler 547 - Scheduler schedulerFactoryBean_$_dell-PC1568250472656 started.
2019-09-12 09:08:00,207 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper 80 - Context refreshed
2019-09-12 09:08:00,236 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper 83 - Found {0} custom documentation plugin(s)
2019-09-12 09:08:00,247 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner 53 - Scanning for api listing references
2019-09-12 09:08:00,253 [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping 100 - Group for method delete was config-river-station-controller
2019-09-12 09:08:00,258 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner 72 - Request mapping: delete belongs to groups: [[ResourceGroup{groupName='config-river-station-controller', position=0, controller=com.siti.wisdomhydrologic.maintainconfig.controller.ConfigRiverStationController}]] 
2019-09-12 09:08:00,259 [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping 100 - Group for method getAllByStationLevel was config-river-station-controller
2019-09-12 09:08:00,259 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner 72 - Request mapping: getAllByStationLevel belongs to groups: [[ResourceGroup{groupName='config-river-station-controller', position=0, controller=com.siti.wisdomhydrologic.maintainconfig.controller.ConfigRiverStationController}]] 
2019-09-12 09:08:00,259 [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping 100 - Group for method getAllByStationName was config-river-station-controller
2019-09-12 09:08:00,260 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner 72 - Request mapping: getAllByStationName belongs to groups: [[ResourceGroup{groupName='config-river-station-controller', position=0, controller=com.siti.wisdomhydrologic.maintainconfig.controller.ConfigRiverStationController}]] 
2019-09-12 09:08:00,260 [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping 100 - Group for method getAllIDAndName was config-river-station-controller
2019-09-12 09:08:00,260 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner 72 - Request mapping: getAllIDAndName belongs to groups: [[ResourceGroup{groupName='config-river-station-controller', position=0, controller=com.siti.wisdomhydrologic.maintainconfig.controller.ConfigRiverStationController}]] 
2019-09-12 09:08:00,260 [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping 100 - Group for method getAllStationBySysOrg was config-river-station-controller
2019-09-12 09:08:00,261 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner 72 - Request mapping: getAllStationBySysOrg belongs to groups: [[ResourceGroup{groupName='config-river-station-controller', position=0, controller=com.siti.wisdomhydrologic.maintainconfig.controller.ConfigRiverStationController}]] 
2019-09-12 09:08:00,261 [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping 100 - Group for method getAll was config-river-station-controller
2019-09-12 09:08:00,261 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner 72 - Request mapping: getAll belongs to groups: [[ResourceGroup{groupName='config-river-station-controller', position=0, controller=com.siti.wisdomhydrologic.maintainconfig.controller.ConfigRiverStationController}]] 
2019-09-12 09:08:00,261 [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping 100 - Group for method getPart was config-river-station-controller
2019-09-12 09:08:00,261 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner 72 - Request mapping: getPart belongs to groups: [[ResourceGroup{groupName='config-river-station-controller', position=0, controller=com.siti.wisdomhydrologic.maintainconfig.controller.ConfigRiverStationController}]] 
2019-09-12 09:08:00,262 [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping 100 - Group for method insert was config-river-station-controller
2019-09-12 09:08:00,262 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner 72 - Request mapping: insert belongs to groups: [[ResourceGroup{groupName='config-river-station-controller', position=0, controller=com.siti.wisdomhydrologic.maintainconfig.controller.ConfigRiverStationController}]] 
2019-09-12 09:08:00,262 [main] INFO  s.d.s.w.ClassOrApiAnnotationResourceGrouping 100 - Group for method update was config-river-station-controller
